# ['H0', 'ombh2', 'omch2', 'tau', 'As', 'ns']
6.925859580759488665e+01 2.259482115632544669e-02 1.153729171748602983e-01 8.199809913536983130e-02 2.192387114592478082e-09 9.767306163422615484e-01
6.925859580759488665e+01 2.259482115632544669e-02 1.153729171748602983e-01 8.199809913536983130e-02 2.192387114592478082e-09 9.767306163422615484e-01
6.925859580759488665e+01 2.259482115632544669e-02 1.153729171748602983e-01 8.199809913536983130e-02 2.192387114592478082e-09 9.767306163422615484e-01
6.925859580759488665e+01 2.259482115632544669e-02 1.153729171748602983e-01 8.199809913536983130e-02 2.192387114592478082e-09 9.767306163422615484e-01
6.925859580759488665e+01 2.259482115632544669e-02 1.153729171748602983e-01 8.199809913536983130e-02 2.192387114592478082e-09 9.767306163422615484e-01
6.902378492188209691e+01 2.249892024758378892e-02 1.160703980235100186e-01 9.201163502358794544e-02 2.243391493716391657e-09 9.733727640808644832e-01
6.902378492188209691e+01 2.249892024758378892e-02 1.160703980235100186e-01 9.201163502358794544e-02 2.243391493716391657e-09 9.733727640808644832e-01
6.902378492188209691e+01 2.249892024758378892e-02 1.160703980235100186e-01 9.201163502358794544e-02 2.243391493716391657e-09 9.733727640808644832e-01
6.902378492188209691e+01 2.249892024758378892e-02 1.160703980235100186e-01 9.201163502358794544e-02 2.243391493716391657e-09 9.733727640808644832e-01
6.768659853644159341e+01 2.231864908487865215e-02 1.189829110476779694e-01 6.959660847208348766e-02 2.161609809235373396e-09 9.657153147442985031e-01
6.768659853644159341e+01 2.231864908487865215e-02 1.189829110476779694e-01 6.959660847208348766e-02 2.161609809235373396e-09 9.657153147442985031e-01
6.768659853644159341e+01 2.231864908487865215e-02 1.189829110476779694e-01 6.959660847208348766e-02 2.161609809235373396e-09 9.657153147442985031e-01
6.768659853644159341e+01 2.231864908487865215e-02 1.189829110476779694e-01 6.959660847208348766e-02 2.161609809235373396e-09 9.657153147442985031e-01
6.768659853644159341e+01 2.231864908487865215e-02 1.189829110476779694e-01 6.959660847208348766e-02 2.161609809235373396e-09 9.657153147442985031e-01
6.768659853644159341e+01 2.231864908487865215e-02 1.189829110476779694e-01 6.959660847208348766e-02 2.161609809235373396e-09 9.657153147442985031e-01
6.768659853644159341e+01 2.231864908487865215e-02 1.189829110476779694e-01 6.959660847208348766e-02 2.161609809235373396e-09 9.657153147442985031e-01
6.768659853644159341e+01 2.231864908487865215e-02 1.189829110476779694e-01 6.959660847208348766e-02 2.161609809235373396e-09 9.657153147442985031e-01
6.768659853644159341e+01 2.231864908487865215e-02 1.189829110476779694e-01 6.959660847208348766e-02 2.161609809235373396e-09 9.657153147442985031e-01
6.768659853644159341e+01 2.231864908487865215e-02 1.189829110476779694e-01 6.959660847208348766e-02 2.161609809235373396e-09 9.657153147442985031e-01
6.768659853644159341e+01 2.231864908487865215e-02 1.189829110476779694e-01 6.959660847208348766e-02 2.161609809235373396e-09 9.657153147442985031e-01
6.768659853644159341e+01 2.231864908487865215e-02 1.189829110476779694e-01 6.959660847208348766e-02 2.161609809235373396e-09 9.657153147442985031e-01
6.768659853644159341e+01 2.231864908487865215e-02 1.189829110476779694e-01 6.959660847208348766e-02 2.161609809235373396e-09 9.657153147442985031e-01
6.741441439860807350e+01 2.224133788297244507e-02 1.201348551816023708e-01 7.740506494736990040e-02 2.197881027757608176e-09 9.673070259210907462e-01
6.741441439860807350e+01 2.224133788297244507e-02 1.201348551816023708e-01 7.740506494736990040e-02 2.197881027757608176e-09 9.673070259210907462e-01
6.741441439860807350e+01 2.224133788297244507e-02 1.201348551816023708e-01 7.740506494736990040e-02 2.197881027757608176e-09 9.673070259210907462e-01
6.741441439860807350e+01 2.224133788297244507e-02 1.201348551816023708e-01 7.740506494736990040e-02 2.197881027757608176e-09 9.673070259210907462e-01
6.741441439860807350e+01 2.224133788297244507e-02 1.201348551816023708e-01 7.740506494736990040e-02 2.197881027757608176e-09 9.673070259210907462e-01
6.741441439860807350e+01 2.224133788297244507e-02 1.201348551816023708e-01 7.740506494736990040e-02 2.197881027757608176e-09 9.673070259210907462e-01
6.741441439860807350e+01 2.224133788297244507e-02 1.201348551816023708e-01 7.740506494736990040e-02 2.197881027757608176e-09 9.673070259210907462e-01
6.752839229234427876e+01 2.222164392675199732e-02 1.195876828044649537e-01 8.421969967008476055e-02 2.221906169082212020e-09 9.690698131333735921e-01
6.752839229234427876e+01 2.222164392675199732e-02 1.195876828044649537e-01 8.421969967008476055e-02 2.221906169082212020e-09 9.690698131333735921e-01
6.752839229234427876e+01 2.222164392675199732e-02 1.195876828044649537e-01 8.421969967008476055e-02 2.221906169082212020e-09 9.690698131333735921e-01
6.752839229234427876e+01 2.222164392675199732e-02 1.195876828044649537e-01 8.421969967008476055e-02 2.221906169082212020e-09 9.690698131333735921e-01
6.752839229234427876e+01 2.222164392675199732e-02 1.195876828044649537e-01 8.421969967008476055e-02 2.221906169082212020e-09 9.690698131333735921e-01
6.752839229234427876e+01 2.222164392675199732e-02 1.195876828044649537e-01 8.421969967008476055e-02 2.221906169082212020e-09 9.690698131333735921e-01
6.710320098783964227e+01 2.250596527623955484e-02 1.209573619543992395e-01 5.908341111056649581e-02 2.123773615098268718e-09 9.651364288280305237e-01
6.710320098783964227e+01 2.250596527623955484e-02 1.209573619543992395e-01 5.908341111056649581e-02 2.123773615098268718e-09 9.651364288280305237e-01
6.710320098783964227e+01 2.250596527623955484e-02 1.209573619543992395e-01 5.908341111056649581e-02 2.123773615098268718e-09 9.651364288280305237e-01
6.710320098783964227e+01 2.250596527623955484e-02 1.209573619543992395e-01 5.908341111056649581e-02 2.123773615098268718e-09 9.651364288280305237e-01
6.710320098783964227e+01 2.250596527623955484e-02 1.209573619543992395e-01 5.908341111056649581e-02 2.123773615098268718e-09 9.651364288280305237e-01
6.691553269338766086e+01 2.232096205445306680e-02 1.209735527783688119e-01 5.420244958231053289e-02 2.105537812308222803e-09 9.650959532030093380e-01
6.691553269338766086e+01 2.232096205445306680e-02 1.209735527783688119e-01 5.420244958231053289e-02 2.105537812308222803e-09 9.650959532030093380e-01
6.712533536983664817e+01 2.239516784617119963e-02 1.202543736185796991e-01 8.443688616593587881e-02 2.232479587543863528e-09 9.691166291197109706e-01
6.712533536983664817e+01 2.239516784617119963e-02 1.202543736185796991e-01 8.443688616593587881e-02 2.232479587543863528e-09 9.691166291197109706e-01
6.712533536983664817e+01 2.239516784617119963e-02 1.202543736185796991e-01 8.443688616593587881e-02 2.232479587543863528e-09 9.691166291197109706e-01
6.712533536983664817e+01 2.239516784617119963e-02 1.202543736185796991e-01 8.443688616593587881e-02 2.232479587543863528e-09 9.691166291197109706e-01
6.672208197343562119e+01 2.205268337561221842e-02 1.202566594080677620e-01 1.006956012923976573e-01 2.300749306198109127e-09 9.690516640879502930e-01
6.672208197343562119e+01 2.205268337561221842e-02 1.202566594080677620e-01 1.006956012923976573e-01 2.300749306198109127e-09 9.690516640879502930e-01
6.672208197343562119e+01 2.205268337561221842e-02 1.202566594080677620e-01 1.006956012923976573e-01 2.300749306198109127e-09 9.690516640879502930e-01
6.672208197343562119e+01 2.205268337561221842e-02 1.202566594080677620e-01 1.006956012923976573e-01 2.300749306198109127e-09 9.690516640879502930e-01
6.672208197343562119e+01 2.205268337561221842e-02 1.202566594080677620e-01 1.006956012923976573e-01 2.300749306198109127e-09 9.690516640879502930e-01
6.672208197343562119e+01 2.205268337561221842e-02 1.202566594080677620e-01 1.006956012923976573e-01 2.300749306198109127e-09 9.690516640879502930e-01
6.707296494573941459e+01 2.213798574179726142e-02 1.191501299195095315e-01 1.072322053158894228e-01 2.324817724248018729e-09 9.667385956867459162e-01
6.790649112069057480e+01 2.217388658578853602e-02 1.170454633201601924e-01 1.061390999321369238e-01 2.300848907346163756e-09 9.729499243000067077e-01
6.790649112069057480e+01 2.217388658578853602e-02 1.170454633201601924e-01 1.061390999321369238e-01 2.300848907346163756e-09 9.729499243000067077e-01
6.714321458926498565e+01 2.208963481739480844e-02 1.188080799105590973e-01 6.661417579715672721e-02 2.135301034032917108e-09 9.735272356687444395e-01
6.688352605777782856e+01 2.226951254739007249e-02 1.199358931976638731e-01 6.204465082894156103e-02 2.124882876140151732e-09 9.702645655233528288e-01
6.783321056412327721e+01 2.243552422849604336e-02 1.182654620785170974e-01 6.217384858870798892e-02 2.121686335978416372e-09 9.732283835203270339e-01
6.783321056412327721e+01 2.243552422849604336e-02 1.182654620785170974e-01 6.217384858870798892e-02 2.121686335978416372e-09 9.732283835203270339e-01
6.783321056412327721e+01 2.243552422849604336e-02 1.182654620785170974e-01 6.217384858870798892e-02 2.121686335978416372e-09 9.732283835203270339e-01
