# ['H0', 'ombh2', 'omch2', 'tau', 'As', 'ns']
6.869248718451216007e+01 2.236105739699239051e-02 1.170783450646739610e-01 7.017697717788619338e-02 2.152354188778015354e-09 9.775188234260541176e-01
6.869248718451216007e+01 2.236105739699239051e-02 1.170783450646739610e-01 7.017697717788619338e-02 2.152354188778015354e-09 9.775188234260541176e-01
6.869248718451216007e+01 2.236105739699239051e-02 1.170783450646739610e-01 7.017697717788619338e-02 2.152354188778015354e-09 9.775188234260541176e-01
6.869248718451216007e+01 2.236105739699239051e-02 1.170783450646739610e-01 7.017697717788619338e-02 2.152354188778015354e-09 9.775188234260541176e-01
6.719944294683844532e+01 2.246622855488900408e-02 1.203312097431672029e-01 4.817597404502753367e-02 2.075348965171832415e-09 9.683080663543360833e-01
6.719944294683844532e+01 2.246622855488900408e-02 1.203312097431672029e-01 4.817597404502753367e-02 2.075348965171832415e-09 9.683080663543360833e-01
6.719944294683844532e+01 2.246622855488900408e-02 1.203312097431672029e-01 4.817597404502753367e-02 2.075348965171832415e-09 9.683080663543360833e-01
6.719944294683844532e+01 2.246622855488900408e-02 1.203312097431672029e-01 4.817597404502753367e-02 2.075348965171832415e-09 9.683080663543360833e-01
6.719944294683844532e+01 2.246622855488900408e-02 1.203312097431672029e-01 4.817597404502753367e-02 2.075348965171832415e-09 9.683080663543360833e-01
6.719944294683844532e+01 2.246622855488900408e-02 1.203312097431672029e-01 4.817597404502753367e-02 2.075348965171832415e-09 9.683080663543360833e-01
6.719944294683844532e+01 2.246622855488900408e-02 1.203312097431672029e-01 4.817597404502753367e-02 2.075348965171832415e-09 9.683080663543360833e-01
6.719944294683844532e+01 2.246622855488900408e-02 1.203312097431672029e-01 4.817597404502753367e-02 2.075348965171832415e-09 9.683080663543360833e-01
6.719944294683844532e+01 2.246622855488900408e-02 1.203312097431672029e-01 4.817597404502753367e-02 2.075348965171832415e-09 9.683080663543360833e-01
6.719944294683844532e+01 2.246622855488900408e-02 1.203312097431672029e-01 4.817597404502753367e-02 2.075348965171832415e-09 9.683080663543360833e-01
6.719944294683844532e+01 2.246622855488900408e-02 1.203312097431672029e-01 4.817597404502753367e-02 2.075348965171832415e-09 9.683080663543360833e-01
6.656763523531417093e+01 2.226618543938968867e-02 1.216366992909047734e-01 3.166768899304300833e-02 2.010172547808798437e-09 9.641262701973092319e-01
6.656763523531417093e+01 2.226618543938968867e-02 1.216366992909047734e-01 3.166768899304300833e-02 2.010172547808798437e-09 9.641262701973092319e-01
6.656763523531417093e+01 2.226618543938968867e-02 1.216366992909047734e-01 3.166768899304300833e-02 2.010172547808798437e-09 9.641262701973092319e-01
6.656763523531417093e+01 2.226618543938968867e-02 1.216366992909047734e-01 3.166768899304300833e-02 2.010172547808798437e-09 9.641262701973092319e-01
6.656763523531417093e+01 2.226618543938968867e-02 1.216366992909047734e-01 3.166768899304300833e-02 2.010172547808798437e-09 9.641262701973092319e-01
6.656763523531417093e+01 2.226618543938968867e-02 1.216366992909047734e-01 3.166768899304300833e-02 2.010172547808798437e-09 9.641262701973092319e-01
6.818801725542063252e+01 2.230130516016769551e-02 1.177681295060818284e-01 5.883271228469230674e-02 2.111571171899919323e-09 9.684111826270361822e-01
6.818801725542063252e+01 2.230130516016769551e-02 1.177681295060818284e-01 5.883271228469230674e-02 2.111571171899919323e-09 9.684111826270361822e-01
6.818801725542063252e+01 2.230130516016769551e-02 1.177681295060818284e-01 5.883271228469230674e-02 2.111571171899919323e-09 9.684111826270361822e-01
6.818801725542063252e+01 2.230130516016769551e-02 1.177681295060818284e-01 5.883271228469230674e-02 2.111571171899919323e-09 9.684111826270361822e-01
6.818801725542063252e+01 2.230130516016769551e-02 1.177681295060818284e-01 5.883271228469230674e-02 2.111571171899919323e-09 9.684111826270361822e-01
6.818801725542063252e+01 2.230130516016769551e-02 1.177681295060818284e-01 5.883271228469230674e-02 2.111571171899919323e-09 9.684111826270361822e-01
6.818801725542063252e+01 2.230130516016769551e-02 1.177681295060818284e-01 5.883271228469230674e-02 2.111571171899919323e-09 9.684111826270361822e-01
6.818801725542063252e+01 2.230130516016769551e-02 1.177681295060818284e-01 5.883271228469230674e-02 2.111571171899919323e-09 9.684111826270361822e-01
6.818801725542063252e+01 2.230130516016769551e-02 1.177681295060818284e-01 5.883271228469230674e-02 2.111571171899919323e-09 9.684111826270361822e-01
6.818801725542063252e+01 2.230130516016769551e-02 1.177681295060818284e-01 5.883271228469230674e-02 2.111571171899919323e-09 9.684111826270361822e-01
6.818801725542063252e+01 2.230130516016769551e-02 1.177681295060818284e-01 5.883271228469230674e-02 2.111571171899919323e-09 9.684111826270361822e-01
6.818801725542063252e+01 2.230130516016769551e-02 1.177681295060818284e-01 5.883271228469230674e-02 2.111571171899919323e-09 9.684111826270361822e-01
6.858236626972070837e+01 2.253929533478721270e-02 1.177443127177090765e-01 6.793657459119654962e-02 2.153868487227193209e-09 9.692342794795414385e-01
6.858236626972070837e+01 2.253929533478721270e-02 1.177443127177090765e-01 6.793657459119654962e-02 2.153868487227193209e-09 9.692342794795414385e-01
6.858236626972070837e+01 2.253929533478721270e-02 1.177443127177090765e-01 6.793657459119654962e-02 2.153868487227193209e-09 9.692342794795414385e-01
6.858236626972070837e+01 2.253929533478721270e-02 1.177443127177090765e-01 6.793657459119654962e-02 2.153868487227193209e-09 9.692342794795414385e-01
6.858236626972070837e+01 2.253929533478721270e-02 1.177443127177090765e-01 6.793657459119654962e-02 2.153868487227193209e-09 9.692342794795414385e-01
6.858236626972070837e+01 2.253929533478721270e-02 1.177443127177090765e-01 6.793657459119654962e-02 2.153868487227193209e-09 9.692342794795414385e-01
6.858236626972070837e+01 2.253929533478721270e-02 1.177443127177090765e-01 6.793657459119654962e-02 2.153868487227193209e-09 9.692342794795414385e-01
6.858236626972070837e+01 2.253929533478721270e-02 1.177443127177090765e-01 6.793657459119654962e-02 2.153868487227193209e-09 9.692342794795414385e-01
6.858236626972070837e+01 2.253929533478721270e-02 1.177443127177090765e-01 6.793657459119654962e-02 2.153868487227193209e-09 9.692342794795414385e-01
6.858236626972070837e+01 2.253929533478721270e-02 1.177443127177090765e-01 6.793657459119654962e-02 2.153868487227193209e-09 9.692342794795414385e-01
6.714215812146218809e+01 2.232692088996370700e-02 1.205367416650125062e-01 4.753092154659475238e-02 2.074096239390427760e-09 9.643389939170545766e-01
6.714215812146218809e+01 2.232692088996370700e-02 1.205367416650125062e-01 4.753092154659475238e-02 2.074096239390427760e-09 9.643389939170545766e-01
6.714215812146218809e+01 2.232692088996370700e-02 1.205367416650125062e-01 4.753092154659475238e-02 2.074096239390427760e-09 9.643389939170545766e-01
6.714215812146218809e+01 2.232692088996370700e-02 1.205367416650125062e-01 4.753092154659475238e-02 2.074096239390427760e-09 9.643389939170545766e-01
6.714215812146218809e+01 2.232692088996370700e-02 1.205367416650125062e-01 4.753092154659475238e-02 2.074096239390427760e-09 9.643389939170545766e-01
6.714215812146218809e+01 2.232692088996370700e-02 1.205367416650125062e-01 4.753092154659475238e-02 2.074096239390427760e-09 9.643389939170545766e-01
6.714215812146218809e+01 2.232692088996370700e-02 1.205367416650125062e-01 4.753092154659475238e-02 2.074096239390427760e-09 9.643389939170545766e-01
6.883504428694237731e+01 2.251086660279365617e-02 1.167807368478371854e-01 4.795544523885406085e-02 2.055087607634526581e-09 9.751015154824353992e-01
6.836176757974189400e+01 2.256106452440239177e-02 1.182183385693950234e-01 6.197604407766689472e-02 2.120217021427654910e-09 9.712250963669366577e-01
6.836176757974189400e+01 2.256106452440239177e-02 1.182183385693950234e-01 6.197604407766689472e-02 2.120217021427654910e-09 9.712250963669366577e-01
6.774929642331684931e+01 2.242447309821200482e-02 1.199190647643001290e-01 5.011913807435897789e-02 2.078266887862478548e-09 9.710773419306777399e-01
6.774929642331684931e+01 2.242447309821200482e-02 1.199190647643001290e-01 5.011913807435897789e-02 2.078266887862478548e-09 9.710773419306777399e-01
6.774929642331684931e+01 2.242447309821200482e-02 1.199190647643001290e-01 5.011913807435897789e-02 2.078266887862478548e-09 9.710773419306777399e-01
6.774929642331684931e+01 2.242447309821200482e-02 1.199190647643001290e-01 5.011913807435897789e-02 2.078266887862478548e-09 9.710773419306777399e-01
6.774929642331684931e+01 2.242447309821200482e-02 1.199190647643001290e-01 5.011913807435897789e-02 2.078266887862478548e-09 9.710773419306777399e-01
6.774929642331684931e+01 2.242447309821200482e-02 1.199190647643001290e-01 5.011913807435897789e-02 2.078266887862478548e-09 9.710773419306777399e-01
6.774929642331684931e+01 2.242447309821200482e-02 1.199190647643001290e-01 5.011913807435897789e-02 2.078266887862478548e-09 9.710773419306777399e-01
6.683267264041892020e+01 2.228127508885507230e-02 1.223103617454794345e-01 5.313700045193012200e-02 2.105183057229509030e-09 9.672793429189683323e-01
6.683267264041892020e+01 2.228127508885507230e-02 1.223103617454794345e-01 5.313700045193012200e-02 2.105183057229509030e-09 9.672793429189683323e-01
6.683267264041892020e+01 2.228127508885507230e-02 1.223103617454794345e-01 5.313700045193012200e-02 2.105183057229509030e-09 9.672793429189683323e-01
6.683267264041892020e+01 2.228127508885507230e-02 1.223103617454794345e-01 5.313700045193012200e-02 2.105183057229509030e-09 9.672793429189683323e-01
6.650069208829962975e+01 2.221868374047025751e-02 1.226401261670040793e-01 5.947332353183564652e-02 2.139623332008122226e-09 9.633993430324658824e-01
6.650069208829962975e+01 2.221868374047025751e-02 1.226401261670040793e-01 5.947332353183564652e-02 2.139623332008122226e-09 9.633993430324658824e-01
6.650069208829962975e+01 2.221868374047025751e-02 1.226401261670040793e-01 5.947332353183564652e-02 2.139623332008122226e-09 9.633993430324658824e-01
6.650069208829962975e+01 2.221868374047025751e-02 1.226401261670040793e-01 5.947332353183564652e-02 2.139623332008122226e-09 9.633993430324658824e-01
6.650069208829962975e+01 2.221868374047025751e-02 1.226401261670040793e-01 5.947332353183564652e-02 2.139623332008122226e-09 9.633993430324658824e-01
6.650069208829962975e+01 2.221868374047025751e-02 1.226401261670040793e-01 5.947332353183564652e-02 2.139623332008122226e-09 9.633993430324658824e-01
6.650069208829962975e+01 2.221868374047025751e-02 1.226401261670040793e-01 5.947332353183564652e-02 2.139623332008122226e-09 9.633993430324658824e-01
6.650069208829962975e+01 2.221868374047025751e-02 1.226401261670040793e-01 5.947332353183564652e-02 2.139623332008122226e-09 9.633993430324658824e-01
